epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3148,2.44938,3.16709,2.20215,0.0128,0.37304,0.0692,0.02568,2.65235,3.17288,2.16265,0.00014,0.00014,0.00014
2,61.9704,2.3346,2.80902,2.03465,0.0157,0.45768,0.07717,0.03047,2.61268,3.10374,2.11207,0.0002901,0.0002901,0.0002901
3,92.6695,2.42382,2.46197,1.96213,0.01634,0.47649,0.07791,0.03093,2.65348,2.99087,2.07495,0.00042964,0.00042964,0.00042964
4,124.186,2.22182,2.23001,1.8559,0.02975,0.31348,0.07012,0.02706,2.61576,2.87799,2.19761,0.00055862,0.00055862,0.00055862
5,155.942,2.30939,2.23866,1.92376,0.17,0.17555,0.10245,0.03997,2.6032,2.79604,2.21568,0.00067704,0.00067704,0.00067704
6,190.064,2.18652,2.19855,1.90021,0.29994,0.09671,0.07684,0.02484,2.6157,2.76397,2.22435,0.0007849,0.0007849,0.0007849
7,225.833,2.16798,2.10881,1.84083,0.33604,0.09837,0.09059,0.0334,2.58491,2.80507,2.27636,0.0008822,0.0008822,0.0008822
8,261.375,2.13924,2.07777,1.83679,0.2222,0.09718,0.07753,0.03363,2.53361,2.91057,2.36119,0.00096894,0.00096894,0.00096894
9,298.127,2.16644,2.1218,1.88698,0.38326,0.12539,0.12005,0.04165,2.47505,2.64085,2.29605,0.00104512,0.00104512,0.00104512
10,336.455,2.17568,2.07746,1.82834,0.35976,0.11599,0.12348,0.04417,2.55714,2.64502,2.30054,0.00111074,0.00111074,0.00111074
11,373.931,2.13935,2.07238,1.83203,0.22122,0.10972,0.09991,0.04033,2.53143,2.68129,2.21666,0.0011658,0.0011658,0.0011658
12,411.55,2.11293,2.06759,1.83879,0.26068,0.14812,0.10736,0.03611,2.54483,2.58176,2.12901,0.0012103,0.0012103,0.0012103
13,448.564,2.0815,2.06718,1.80617,0.24183,0.14107,0.1066,0.03706,2.57832,2.69582,2.22487,0.001208,0.001208,0.001208
14,487.204,2.06639,2.06964,1.81331,0.19958,0.14107,0.10326,0.03377,2.60313,2.63595,2.26366,0.001142,0.001142,0.001142
15,525.143,2.0298,2.04098,1.79867,0.27616,0.17868,0.13143,0.04957,2.55791,2.49647,2.18532,0.001076,0.001076,0.001076
16,565.581,2.05567,2.01897,1.81531,0.20294,0.2163,0.10694,0.04242,2.57892,2.50067,2.22872,0.00101,0.00101,0.00101
17,607.629,2.04269,1.96928,1.77644,0.22294,0.17808,0.10527,0.04056,2.57406,2.56412,2.25807,0.000944,0.000944,0.000944
18,650.083,2.02096,1.9516,1.7196,0.26995,0.20376,0.13587,0.0488,2.51328,2.52952,2.20868,0.000878,0.000878,0.000878
19,692.557,1.98,1.93468,1.72812,0.25565,0.17334,0.12537,0.04417,2.56517,2.65235,2.27013,0.000812,0.000812,0.000812
20,734.99,2.0309,1.94485,1.76739,0.28244,0.18809,0.1253,0.04508,2.57348,2.57407,2.24373,0.000746,0.000746,0.000746
21,773.166,2.21255,2.31838,1.93633,0.2057,0.12539,0.0946,0.03761,2.56713,2.65055,2.2594,0.00068,0.00068,0.00068
22,813.693,2.08992,2.23627,1.86023,0.11075,0.10031,0.06543,0.02486,2.53349,2.70605,2.32719,0.000614,0.000614,0.000614
23,851.746,2.0472,2.21747,1.87009,0.12647,0.10972,0.07125,0.02543,2.48187,2.64903,2.33236,0.000548,0.000548,0.000548
24,889.004,2.02978,2.18048,1.88998,0.15205,0.1442,0.0944,0.04219,2.4365,2.54332,2.22787,0.000482,0.000482,0.000482
25,930.501,1.96916,2.13773,1.78927,0.23294,0.18495,0.12735,0.0547,2.4195,2.47192,2.19298,0.000416,0.000416,0.000416
26,970.114,1.95414,2.09751,1.7783,0.25832,0.21317,0.16113,0.06904,2.41229,2.3823,2.17164,0.00035,0.00035,0.00035
27,1012.13,1.97976,2.0556,1.76297,0.29016,0.2163,0.17963,0.07581,2.39172,2.33345,2.15745,0.000284,0.000284,0.000284
28,1052.45,1.96074,2.02682,1.76328,0.29544,0.21317,0.18176,0.07453,2.37562,2.29917,2.13093,0.000218,0.000218,0.000218
29,1093.81,1.87295,2.02735,1.72299,0.30779,0.22721,0.1941,0.07615,2.38448,2.29601,2.11982,0.000152,0.000152,0.000152
30,1135.15,1.94494,2.01783,1.7204,0.31825,0.23197,0.20241,0.07967,2.3845,2.2892,2.10267,8.6e-05,8.6e-05,8.6e-05
